model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,boundary_acc,overall_acc,ordering_count,arithmetic_count,classification_count,boundary_count,total_count,timestamp,start_time_sf
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,0,BASELINE,YEAR_CONCEPT,0.99,0.31,0.93,0.82,0.7625,100,100,100,100,400,2025-12-29-20-05-49,2025-12-29-12-05-49
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,16,A,YEAR_CONCEPT,0.99,0.26,0.88,0.55,0.67,100,100,100,100,400,2025-12-29-20-06-08,2025-12-29-12-06-08
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,32,A,YEAR_CONCEPT,0.99,0.28,0.88,0.59,0.685,100,100,100,100,400,2025-12-29-20-06-16,2025-12-29-12-06-16
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,64,A,YEAR_CONCEPT,0.99,0.29,0.84,0.57,0.6725,100,100,100,100,400,2025-12-29-20-06-23,2025-12-29-12-06-23
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,8,A,YEAR_CONCEPT,0.99,0.27,0.89,0.55,0.675,100,100,100,100,400,2025-12-29-20-06-33,2025-12-29-12-06-33
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,128,A,YEAR_CONCEPT,0.99,0.3,0.81,0.56,0.665,100,100,100,100,400,2025-12-29-20-06-42,2025-12-29-12-06-42
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank12-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,12,A,YEAR_CONCEPT,0.99,0.29,0.87,0.55,0.675,100,100,100,100,400,2025-12-29-20-06-53,2025-12-29-12-06-53
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank48-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,48,A,YEAR_CONCEPT,0.99,0.27,0.88,0.57,0.6775,100,100,100,100,400,2025-12-29-20-07-02,2025-12-29-12-07-02
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank96-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,96,A,YEAR_CONCEPT,0.99,0.29,0.83,0.59,0.675,100,100,100,100,400,2025-12-29-20-07-09,2025-12-29-12-07-09
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank24-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,24,A,YEAR_CONCEPT,0.99,0.29,0.89,0.56,0.6825,100,100,100,100,400,2025-12-29-20-07-16,2025-12-29-12-07-16
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,32,B,YEAR_CONCEPT,0.99,0.33,0.9,0.97,0.7975,100,100,100,100,400,2025-12-29-20-07-30,2025-12-29-12-07-30
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,64,B,YEAR_CONCEPT,0.98,0.28,0.9,0.97,0.7825,100,100,100,100,400,2025-12-29-20-07-45,2025-12-29-12-07-45
